id_cliente;nombre;apellido;telefono;direccion
;Minnaminnie;Lugden;436 878 3007;676 Starling Terrace
;Bradley;Levay;499 957 3853;4 Jenifer Street
;Reuven;Abramcik;867 737 0523;0 Sullivan Terrace
;Vanna;MacAdie;468 648 9752;8723 Coleman Circle
;Harmonie;Broggetti;633 891 6507;395 John Wall Circle
;Stepha;Vallens;305 285 4357;7 Stephen Point
;Philippine;Burleigh;523 771 9950;9623 Mendota Alley
;Wadsworth;De Micoli;641 873 3143;9 Delladonna Center
;Elisabet;Rentalll;401 709 9059;9737 Johnson Pass
;Templeton;Kenaway;120 354 4101;1 Lyons Hill
;Eric;Schulter;742 478 6546;61456 Pepper Wood Road
;Paule;Kielt;233 116 7446;9676 Rigney Center
;Niels;Blythe;663 787 4970;88 Mcguire Plaza
;Catherine;Jedrych;988 349 0505;751 Spenser Terrace
;Davide;Verrick;626 692 5327;5672 Chinook Pass
;Lita;Cowins;540 315 4962;879 Lighthouse Bay Parkway
;Cherey;McLanaghan;271 207 0454;71 Grayhawk Center
;Web;Billin;325 332 7751;96460 Judy Court
;Alasteir;Harvatt;992 180 0129;43 South Hill
;Vyky;Westbury;132 330 9001;56 Fallview Plaza
;Matteo;Gregory;206 908 5504;03 Tennyson Alley
;Ginny;Woodison;416 207 4612;3002 Macpherson Lane
;Dominick;Golden;453 986 7237;4503 Thierer Plaza
;Shepherd;Carrick;986 914 3520;12189 Lien Drive
;Orel;Trimmill;655 950 3278;94548 Blue Bill Park Trail
;Petronille;Reaney;433 781 2467;2508 Grayhawk Way
;Archambault;Resun;473 981 6902;48 Red Cloud Hill
;Ken;Malyon;107 382 1360;234 Pine View Lane
;Dolf;Chiplen;517 826 0070;70 Gerald Parkway
;Rollin;Clilverd;844 616 7899;5 Butternut Place
;Lindsey;Singh;507 598 8469;1 Elmside Pass
;Ivan;Moncarr;444 761 8477;60 Truax Avenue
;Thibaud;Ranner;121 448 0311;47195 Sunfield Crossing
